Sr. no. ,Long,Lat,Time
243,72.97545107,19.18558437,5
244,72.97543511,19.18558006,5
245,72.9754386,19.1855769,5
246,72.9754441,19.18558171,5
247,72.97545228,19.18558146,5
248,72.97545148,19.18558424,5
249,72.97546744,19.18558602,5
250,72.97546824,19.18558855,5
251,72.97545979,19.18558602,6
252,72.97545966,19.18558361,6
253,72.97545255,19.18558234,6
254,72.97552906,19.18560311,6
255,72.97552651,19.18560248,6
256,72.97552704,19.18560058,6
257,72.97553429,19.18560628,6
258,72.97554153,19.18560514,6
259,72.97554193,19.18560716,6
260,72.97554175,19.18560922,6
261,72.97555735,19.18561064,6
262,72.9755571,19.18561278,6
263,72.97554905,19.18560827,6
264,72.9755488,19.18561112,6
265,72.9755576,19.18560969,6
266,72.97555785,19.18561159,6
267,72.97556401,19.18561142,6
268,72.97556401,19.18561468,6
269,72.97557167,19.18561721,6
270,72.97557205,19.18561449,6
271,72.9755709,19.18561721,6
272,72.97559483,19.18562046,6
273,72.97559445,19.18562354,6
274,72.97560402,19.18562372,6
275,72.97560345,19.18562643,6
276,72.9755956,19.18562082,6
277,72.97559502,19.18562426,6
278,72.97559713,19.18562263,6
279,72.97560441,19.18562354,6
280,72.97560326,19.18562661,6
281,72.9756123,19.18562472,6
282,72.97561154,19.18562795,6
283,72.97561877,19.18562992,6
284,72.97561934,19.18562669,6
285,72.97561287,19.18562723,6
286,72.97562466,19.1856319,6
287,72.9756334,19.18563064,6
288,72.97563245,19.18563405,6
289,72.9756353,19.18563262,6
290,72.97564139,19.18563693,6
291,72.97564956,19.18563531,6
292,72.97565032,19.1856389,6
293,72.97565697,19.18563782,6
294,72.97565754,19.1856398,6
295,72.97565811,19.18564231,6
296,72.97566648,19.18563998,6
297,72.97566553,19.18564285,6
298,72.97567389,19.18564213,6
299,72.9756737,19.18564357,6
300,72.97567237,19.18564518,6
